Wavelenght,C 1.1,DH1R,DH2.1T,DH3.1,H1Bl Hair,H1c- hair,H2.1T Hair,N1TT_good,N2.2ML_28,N3.1TT,N3.1TT_Good,R1_22,R1Sc_24,R2_good,R3.1TStraw,R4.1_23,R5_17,R6_18,R7_20,SP2.1E,SP13.1C,SP13.2B,SP-bev,SS 1.1,UN1
1335.704645,95.151439,95.653257,85.786538,98.204438,93.19751,90.065729,94.93425,66.191209,93.663618,99.517356,82.21813,96.455767,93.35358,95.336729,94.163655,86.263304,92.395403,6.788017,56.805689,93.858748,95.52516,91.042746,97.262255,89.145375,94.319628
1335.945704,95.145676,95.666428,85.788311,98.211419,93.197312,90.036236,94.935099,65.588876,93.658895,99.530002,82.355115,96.457739,93.362545,95.336234,94.175328,86.110472,92.389523,6.787073,56.794362,93.861517,95.510954,91.039416,97.26841,89.14091,94.324887
1336.186762,95.139683,95.677775,85.788567,98.217957,93.19722,90.012082,94.935789,65.016421,93.654007,99.542982,82.49834,96.458968,93.370421,95.335685,94.185439,85.962984,92.383153,6.786208,56.783489,93.863677,95.496616,91.03625,97.272882,89.135467,94.329257
1336.427821,95.133418,95.687196,85.787276,98.223991,93.197181,89.993535,94.936242,64.477031,93.648857,99.556171,82.647537,96.459381,93.377109,95.335013,94.193877,85.821509,92.376239,6.785411,56.772914,93.865201,95.482135,91.033223,97.275668,89.128973,94.33269
1336.668879,95.126832,95.694601,85.784411,98.229454,93.197134,89.980824,94.936379,63.973774,93.643347,99.56943,82.80238,96.458903,93.382508,95.334145,94.200535,85.686703,92.368724,6.784664,56.76247,93.866066,95.4675,91.030305,97.276774,89.121352,94.335143
1336.909938,95.119871,95.699911,85.779955,98.234282,93.197009,89.974138,94.936115,63.509568,93.63737,99.582612,82.962491,96.457459,93.386518,95.333001,94.205307,85.559204,92.360553,6.783951,56.751979,93.866257,95.452696,91.027459,97.276216,89.112531,94.33658
1337.150996,95.112477,95.703058,85.773894,98.238412,93.196733,89.973629,94.93536,63.087164,93.630823,99.595562,83.127438,96.454973,93.389041,95.331496,94.208093,85.439629,92.351668,6.783248,56.741257,93.865761,95.437708,91.024651,97.274013,89.102438,94.336975
1337.392054,95.104589,95.703986,85.76622,98.241781,93.196232,89.979405,94.934029,62.709109,93.623599,99.608124,83.296741,96.45137,93.389986,95.329546,94.2088,85.328565,92.342018,6.782531,56.730116,93.864573,95.422523,91.021843,97.270189,89.091005,94.336308
1337.633113,95.096145,95.702653,85.756934,98.244334,93.195428,89.991528,94.932035,62.377727,93.6156,99.62014,83.469877,96.446582,93.389271,95.327067,94.207342,85.226569,92.331553,6.781776,56.718372,93.862695,95.407126,91.018996,97.264769,89.078168,94.334573
1337.874171,95.087089,95.699029,85.746038,98.246015,93.194251,90.01002,94.929299,62.095086,93.606733,99.631461,83.646283,96.440545,93.386821,95.323979,94.20364,85.134163,92.320231,6.780957,56.705847,93.860133,95.391506,91.016077,97.257783,89.063873,94.331773
1338.11523,95.077368,95.693098,85.733546,98.246777,93.192633,90.034857,94.925748,61.862979,93.596917,99.641943,83.825365,96.433201,93.38258,95.320209,94.19763,85.051824,92.308019,6.780047,56.692371,93.856902,95.375655,91.01305,97.249259,89.048076,94.327923
1338.356288,95.066935,95.684861,85.719473,98.246581,93.190514,90.06597,94.921318,61.682896,93.586083,99.65146,84.006506,96.424507,93.376504,95.315693,94.189257,84.979984,92.294892,6.779022,56.677791,93.853019,95.359566,91.009886,97.239225,89.030742,94.323049
1338.597346,95.055755,95.674331,85.703843,98.245393,93.187844,90.103249,94.915958,61.556004,93.574179,99.6599,84.189072,96.414426,93.368568,95.310379,94.178483,84.919024,92.280837,6.777858,56.661967,93.848511,95.343238,91.00656,97.227709,89.011853,94.317187
1338.838405,95.043803,95.661537,85.686685,98.243191,93.184586,90.146543,94.90963,61.483132,93.561172,99.667174,84.372422,96.402939,93.358767,95.30423,94.165286,84.869271,92.265853,6.776536,56.644782,93.843406,95.32667,91.003051,97.214736,88.991405,94.310388
1339.079463,95.031069,95.646522,85.668034,98.239962,93.180716,90.195662,94.90231,61.464756,93.547048,99.673214,84.555917,96.390038,93.347116,95.297224,94.14966,84.83099,92.249951,6.775038,56.626139,93.837738,95.309869,90.999342,97.20033,88.96941,94.302707
1339.320522,95.017553,95.629343,85.64793,98.235701,93.176225,90.250382,94.893992,61.500992,93.531813,99.677981,84.738926,96.375731,93.333648,95.289355,94.131618,84.804386,92.233158,6.773352,56.605961,93.831544,95.29284,90.995423,97.184509,88.945896,94.294212
1339.56158,95.003273,95.610067,85.626416,98.230414,93.171117,90.310443,94.884681,61.59159,93.515497,99.68146,84.920839,96.36004,93.318419,95.280634,94.111192,84.789597,92.21551,6.77147,56.584196,93.824862,95.275596,90.991288,97.16729,88.92091,94.284977
1339.802638,94.988261,95.588775,85.603542,98.224117,93.165412,90.375559,94.8744,61.735938,93.498147,99.683666,85.101071,96.343001,93.301501,95.271091,94.088429,84.786695,92.197058,6.769386,56.560812,93.817735,95.258148,90.986937,97.148687,88.894511,94.275081
1340.043697,94.972562,95.565553,85.579357,98.216834,93.159143,90.445417,94.863188,61.933067,93.479831,99.684639,85.279067,96.324664,93.282982,95.26077,94.063396,84.795687,92.177862,6.767103,56.535797,93.810204,95.240512,90.982373,97.128706,88.866776,94.264609
1340.284755,94.956234,95.540494,85.553914,98.208597,93.152358,90.519685,94.851093,62.18167,93.460636,99.684446,85.454312,96.305089,93.262966,95.249733,94.036172,84.816508,92.15799,6.764626,56.509158,93.80231,95.222701,90.977602,97.107351,88.837791,94.253646
1340.525814,94.939346,95.513696,85.527267,98.199444,93.145114,90.59801,94.838177,62.480109,93.440662,99.683176,85.626329,96.284348,93.241564,95.238051,94.006852,84.849031,92.137519,6.761966,56.480917,93.794094,95.204732,90.972636,97.084621,88.807656,94.242281
